z_mm,y_cut_mm,A_bare_Tight,A_hull_Tight,a_local_Tight,A_bare_Default,A_hull_Default,a_local_Default,A_bare_Wide,A_hull_Wide,a_local_Wide,V_submerged_Tight_cm3,V_submerged_Default_cm3,V_submerged_Wide_cm3
0.00000,-61.19200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.50000,-60.69200,0.07008,0.12556,0.07008,0.07008,0.17694,0.07008,0.07008,0.21034,0.07008,0.00175,0.00175,0.00175
1.00000,-60.19200,0.14765,0.20860,0.14765,0.14765,0.29246,0.14765,0.14765,0.34647,0.14765,0.00720,0.00720,0.00720
1.50000,-59.69200,0.24071,0.43552,0.24010,0.24071,0.67307,0.24010,0.24071,0.83294,0.24010,0.01689,0.01689,0.01689
2.00000,-59.19200,0.32873,0.53167,0.32222,0.32873,0.82903,0.32222,0.32873,1.02608,0.32222,0.03095,0.03095,0.03095
2.50000,-58.69200,0.39840,0.61813,0.36438,0.39840,0.97109,0.36438,0.39840,1.20337,0.36438,0.04811,0.04811,0.04811
3.00000,-58.19200,0.45402,0.70863,0.32121,0.45402,1.11160,0.32121,0.45402,1.36732,0.32121,0.06525,0.06525,0.06525
3.50000,-57.69200,0.49113,0.74705,0.23995,0.49250,1.19023,0.23995,0.49250,1.47801,0.23995,0.07928,0.07928,0.07928
4.00000,-57.19200,0.52345,0.78353,0.19704,0.52345,1.26616,0.19704,0.52345,1.56978,0.19704,0.09021,0.09021,0.09021
4.50000,-56.69200,0.54633,0.81943,0.14607,0.54734,1.34076,0.14607,0.54734,1.66835,0.14607,0.09878,0.09878,0.09878
5.00000,-56.19200,0.56423,0.84677,0.12102,0.56423,1.38520,0.12102,0.56423,1.72342,0.12102,0.10546,0.10546,0.10546
5.50000,-55.69200,0.57921,0.86980,0.12064,0.57921,1.41844,0.12064,0.57921,1.76310,0.12064,0.11150,0.11150,0.11150
